watershed,location,scenario,flow_cfs,habitat_type,habitat_area_acres,method,interpolation_applied,project_type
Feather River,LFC,VA,1396,Instream rearing,23.575615384615382,flow-habitat relationship provided,TRUE,NA
Feather River,LFC,VA,694,Instream rearing,28.798,flow-habitat relationship provided,TRUE,NA
Feather River,LFC,VA,946,Instream rearing,26.601,flow-habitat relationship provided,TRUE,NA
Feather River,LFC,VA additional acres,650,Instream rearing,4.2,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,VA additional acres,725,Instream rearing,4.7250000000000005,flow-habitat relationship provided,FALSE,NA
Feather River,LFC,VA additional acres,3000,Instream rearing,2.625,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,1100,Floodplain rearing,0,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,2600,Floodplain rearing,127.3212,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,4056,Floodplain rearing,263.088,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,4100,Floodplain rearing,267.192,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,5600,Floodplain rearing,317.02320000000003,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,6983,Floodplain rearing,350.8245,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,7100,Floodplain rearing,353.6865,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,8600,Floodplain rearing,399.05730000000005,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,10100,Floodplain rearing,445.06530000000004,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,11600,Floodplain rearing,478.82340000000005,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,13100,Floodplain rearing,518.6619000000001,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,14600,Floodplain rearing,550.3167000000001,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,16100,Floodplain rearing,587.7333,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,17600,Floodplain rearing,613.9071,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,19100,Floodplain rearing,654.075,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,20600,Floodplain rearing,718.1352,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,22100,Floodplain rearing,784.7604,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,23600,Floodplain rearing,873.1935000000001,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,25100,Floodplain rearing,974.0304000000001,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,26600,Floodplain rearing,1056.6207,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,28100,Floodplain rearing,1130.5845000000002,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,29600,Floodplain rearing,1247.3919,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,31100,Floodplain rearing,1335.0204,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,32600,Floodplain rearing,1545.8283000000001,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,34100,Floodplain rearing,1687.5081,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,35600,Floodplain rearing,1784.4732000000001,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,37100,Floodplain rearing,1887.4242000000002,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,38600,Floodplain rearing,1987.3215,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,40100,Floodplain rearing,2143.0467000000003,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,41600,Floodplain rearing,2246.8914,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,43100,Floodplain rearing,2356.8975,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,44600,Floodplain rearing,2474.3394,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,46100,Floodplain rearing,2574.7470000000003,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,47600,Floodplain rearing,2680.6518,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,49100,Floodplain rearing,2775.6324000000004,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,50600,Floodplain rearing,2878.4592,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,52100,Floodplain rearing,2971.9737,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,53600,Floodplain rearing,3044.7819,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,55100,Floodplain rearing,3117.9195000000004,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,Reference Condition,56600,Floodplain rearing,3224.7720000000004,flow-habitat relationship provided,FALSE,NA
Feather River,Feather River,VA,1100,Floodplain rearing,0,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,2600,Floodplain rearing,127.3212,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,4056,Floodplain rearing,742.0813333333333,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,4100,Floodplain rearing,745.394380952381,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,5600,Floodplain rearing,768.2612952380953,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,6983,Floodplain rearing,777.2015238095238,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,7100,Floodplain rearing,777.9603095238095,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,8600,Floodplain rearing,796.3668238095238,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,10100,Floodplain rearing,818.1605380952382,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,11600,Floodplain rearing,866.2043523809524,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,13100,Floodplain rearing,920.3285666666667,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,14600,Floodplain rearing,966.269080952381,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,16100,Floodplain rearing,1017.9713952380953,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,17600,Floodplain rearing,1058.4309095238095,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,19100,Floodplain rearing,1112.884523809524,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,20600,Floodplain rearing,1191.2304380952382,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,22100,Floodplain rearing,1272.1413523809524,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,23600,Floodplain rearing,1374.8601666666668,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,25100,Floodplain rearing,1489.0304,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,26600,Floodplain rearing,1571.6207,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,28100,Floodplain rearing,1645.5845000000002,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,29600,Floodplain rearing,1762.3919,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,31100,Floodplain rearing,2511.7304000000004,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,32600,Floodplain rearing,2746.6883000000003,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,34100,Floodplain rearing,2912.5181000000002,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,35600,Floodplain rearing,3011.0932000000003,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,37100,Floodplain rearing,3081.8442000000005,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,38600,Floodplain rearing,3149.5415000000003,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,40100,Floodplain rearing,3273.0667000000003,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,41600,Floodplain rearing,3344.7114,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,43100,Floodplain rearing,3422.5175,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,44600,Floodplain rearing,3507.7594,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,46100,Floodplain rearing,3575.9670000000006,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,47600,Floodplain rearing,3649.6718,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,49100,Floodplain rearing,3712.4524000000006,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,50600,Floodplain rearing,3795.9592,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,52100,Floodplain rearing,3889.4737,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,53600,Floodplain rearing,3962.2819,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,55100,Floodplain rearing,4035.4195000000004,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA,56600,Floodplain rearing,4142.272000000001,flow-habitat relationship provided,TRUE,NA
Feather River,Feather River,VA additional acres,3000,Floodplain rearing,412.5,flow-habitat relationship provided,FALSE,inundation 3000
Feather River,Feather River,VA additional acres,4000,Floodplain rearing,440,flow-habitat relationship provided,FALSE,inundation 3000
Feather River,Feather River,VA additional acres,10000,Floodplain rearing,275,flow-habitat relationship provided,FALSE,inundation 3000
Feather River,Feather River,VA additional acres,4000,Floodplain rearing,240,flow-habitat relationship provided,FALSE,inundation 4000
Feather River,Feather River,VA additional acres,25000,Floodplain rearing,240,flow-habitat relationship provided,FALSE,inundation 4000
Feather River,Feather River,VA additional acres,30000,Floodplain rearing,644,flow-habitat relationship provided,FALSE,inundation 30000
Feather River,Feather River,VA additional acres,35000,Floodplain rearing,724.5,flow-habitat relationship provided,FALSE,inundation 30000
Feather River,Feather River,VA additional acres,50000,Floodplain rearing,402.5,flow-habitat relationship provided,FALSE,inundation 30000
